SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
ANDAMAN & NICOBAR ISLANDS,1901,5.425562401,6.402735434,6.479334882,1.286538945,1.823646314,116.4146596,195.805386,188.2410327,165.0234814,37.61025405,24.07309211,21.32183714,687.8,129.2,45,1696.3,980.3
ANDAMAN & NICOBAR ISLANDS,1902,6.363432147,6.736448271,6.967878555,1.531091426,1.291864043,190.5468295,125.6226129,142.7530982,118.8015729,29.91588391,34.7240582,25.58791081,685,159.8,45,2185.9,716.7
ANDAMAN & NICOBAR ISLANDS,1903,6.360944738,5.976304742,6.296740708,1.102800356,1.044144315,126.216327,124.5110276,181.8728515,155.5807158,16.39101047,15.02743412,33.27839858,697.7,156.7,45,1874,690.6
ANDAMAN & NICOBAR ISLANDS,1904,5.907111483,5.511805442,6.721339448,1.122199124,1.432004615,139.1379726,128.9321705,169.8756102,140.952898,31.82208693,34.29952006,38.69881516,589.2,24.1,45,1977.6,571
ANDAMAN & NICOBAR ISLANDS,1905,6.997220955,6.372103769,6.525368527,1.645742203,1.660649292,151.8667097,147.0441789,163.0947562,130.4912075,32.8502059,31.93072473,29.93498151,551.7,1.3,45,1624.9,630.8
ANDAMAN & NICOBAR ISLANDS,1906,5.401833725,6.676924052,5.877542124,1.339611186,1.670127089,160.2234921,194.6309916,208.1440484,108.0631664,38.8613323,15.20619047,27.74833163,640.8,36.6,45,1465.8,475.9
ANDAMAN & NICOBAR ISLANDS,1907,5.802247196,6.41364418,5.759601647,1.934055278,1.283390684,135.6479058,147.9665015,204.4786822,165.9444425,26.80367799,35.2424616,20.54995606,685,110.7,45,1327.1,1158.9
ANDAMAN & NICOBAR ISLANDS,1908,6.166447893,5.489200286,5.664427716,1.181891398,1.487476304,190.7853957,173.4016797,189.9576385,156.6631027,32.83815199,24.75906266,27.80801505,705.9,106,45,2303.7,575.7
ANDAMAN & NICOBAR ISLANDS,1910,6.856577712,6.718532916,5.465908838,1.504689908,1.999032356,124.1190703,156.670733,182.7484677,135.0037442,15.64033737,21.59919052,38.78167235,654.3,49.3,45,1701,629
ANDAMAN & NICOBAR ISLANDS,1911,5.245065222,5.209048188,6.192085319,1.597869523,1.153448612,217.4427587,105.9267556,200.3621323,211.1078451,17.7340537,26.83353199,16.09318262,613.4,8.4,45,1553.6,675.4
ANDAMAN & NICOBAR ISLANDS,1912,5.833208719,6.011642701,5.149839144,1.332371606,1.56594531,143.3462572,156.127686,204.939821,102.1228037,38.15051666,37.71257767,23.1188379,608.1,584.5,45,1775.2,438.2
ANDAMAN & NICOBAR ISLANDS,1913,6.401290318,6.404252287,5.494337282,1.220952736,1.389121784,152.1266573,144.1121873,133.5160376,167.8816423,32.99532557,15.78337281,18.7838772,673,85.3,45,1596.7,489.3
ANDAMAN & NICOBAR ISLANDS,1914,5.453516828,5.537390767,6.653783761,1.636305879,1.383545694,218.9516442,190.153268,102.9080009,171.2278997,20.36001117,20.81344091,38.65279752,605,0,45,2007.4,613.9
ANDAMAN & NICOBAR ISLANDS,1915,5.824741718,6.742879053,6.805693234,1.05235565,1.004451765,203.5524979,138.7666972,124.8098057,118.3628991,35.02755661,15.5151308,35.67884298,706.7,101.7,45,1350.7,1044.5
ANDAMAN & NICOBAR ISLANDS,1916,6.381486125,5.631833827,6.366721263,1.285601261,1.151400804,111.0971249,175.7778919,198.12713,207.6131982,28.10715236,33.77288679,23.47300199,605,0,45,1753.6,696
