District,Month,Rainfall (mm),Temperature (°C),Humidity (%),Year
Rangareddy,June,118.78,26.5,46.0,2023
Khammam,March,10.76,16.6,84.0,2018
Jogulamba Gadwal,March,12.31,22.1,40.0,2022
Nizamabad,March,17.11,23.9,27.0,2021
Yadadri Bhuvanagiri,May,31.42,17.0,36.0,2021
Rangareddy,February,6.74,24.9,74.0,2023
Nalgonda,January,10.47,35.4,47.0,2020
Mulugu,October,92.85,16.8,90.0,2015
Khammam,October,89.45,16.6,62.0,2025
Mahabubnagar,June,120.5,17.8,54.0,2015
Mancherial,July,193.98,29.1,64.0,2019
Adilabad,February,6.26,31.7,88.0,2015
Jogulamba Gadwal,November,17.94,17.6,52.0,2024
Nizamabad,February,6.4,32.2,25.0,2024
Wanaparthy,September,138.74,41.2,63.0,2021
Vikarabad,September,136.9,30.8,23.0,2016
Mahabubnagar,March,12.49,19.3,82.0,2022
Nirmal,June,121.75,24.4,91.0,2020
Yadadri Bhuvanagiri,February,7.78,42.8,76.0,2021
Mulugu,September,133.88,41.8,62.0,2018
Hanamkonda,September,136.3,42.6,61.0,2021
Mahabubabad,December,8.75,16.2,63.0,2019
Rajanna Sircilla,June,117.29,29.4,78.0,2015
Khammam,December,4.48,26.4,68.0,2020
Hyderabad,February,6.07,39.8,74.0,2023
Kumurambheem Asifabad,November,21.07,19.7,71.0,2017
Kamareddy,June,117.93,17.5,25.0,2016
Nirmal,July,194.85,30.1,37.0,2019
Mulugu,July,193.09,35.2,43.0,2016
Adilabad,February,2.97,21.8,57.0,2018
Adilabad,October,85.27,42.0,36.0,2018
Kumurambheem Asifabad,July,196.16,42.8,51.0,2016
Rajanna Sircilla,November,18.47,24.9,24.0,2015
Kamareddy,February,6.24,39.2,51.0,2022
Sangareddy,February,5.35,44.9,74.0,2022
Suryapet,October,90.8,35.4,22.0,2017
Kumurambheem Asifabad,December,2.42,27.9,20.0,2025
Mancherial,March,13.13,19.5,79.0,2023
Hanamkonda,February,7.3,41.4,41.0,2021
Nalgonda,August,189.45,39.8,95.0,2015
Adilabad,August,190.03,32.7,37.0,2023
Jagtial,August,190.61,22.7,71.0,2025
Nizamabad,January,8.31,43.0,39.0,2016
Yadadri Bhuvanagiri,September,136.25,27.3,87.0,2018
Nalgonda,September,135.9,23.5,44.0,2015
Adilabad,October,90.91,36.0,84.0,2021
Rajanna Sircilla,June,116.77,32.7,42.0,2018
Medak,November,23.59,27.8,70.0,2019
Wanaparthy,March,7.51,40.8,64.0,2015
Wanaparthy,January,9.24,36.8,85.0,2020
Rajanna Sircilla,November,18.39,28.2,73.0,2019
Mahabubnagar,October,97.79,41.2,29.0,2023
Wanaparthy,September,139.33,31.4,32.0,2022
Nagarkurnool,March,12.07,21.2,83.0,2020
Nalgonda,May,30.66,16.0,82.0,2015
Kamareddy,December,4.46,18.2,97.0,2022
Nalgonda,May,30.74,15.8,47.0,2018
Nagarkurnool,June,121.53,25.1,54.0,2019
Vikarabad,September,139.67,30.7,31.0,2020
Jogulamba Gadwal,October,91.27,22.8,82.0,2023
Karimnagar,January,7.34,30.7,99.0,2021
Mahabubabad,February,6.63,25.2,42.0,2022
Khammam,May,31.41,42.5,36.0,2020
Jagtial,January,9.43,20.7,87.0,2025
Mahabubnagar,January,9.61,18.2,92.0,2024
Kamareddy,May,30.15,43.2,55.0,2025
Suryapet,June,119.38,32.0,23.0,2015
Vikarabad,November,15.24,17.1,41.0,2022
Vikarabad,July,191.52,37.8,82.0,2024
Mancherial,May,31.41,17.9,89.0,2018
Nagarkurnool,October,91.95,18.6,90.0,2017
Kamareddy,July,195.92,16.1,55.0,2025
Yadadri Bhuvanagiri,July,195.41,37.0,98.0,2023
Wanaparthy,November,18.71,36.9,70.0,2017
Hanamkonda,March,13.8,28.4,76.0,2022
Nalgonda,August,189.68,36.5,47.0,2020
Siddipet,February,7.35,15.9,62.0,2023
Mahabubnagar,May,32.66,42.1,81.0,2016
Nagarkurnool,July,191.29,43.6,68.0,2024
Rangareddy,May,31.64,29.5,79.0,2020
Mancherial,November,21.09,18.8,45.0,2017
Khammam,June,122.75,18.8,31.0,2021
Siddipet,February,3.82,30.4,76.0,2016
Yadadri Bhuvanagiri,September,139.44,37.4,81.0,2022
Mancherial,May,31.16,34.5,78.0,2015
Mahabubabad,February,5.96,27.3,87.0,2016
Sangareddy,November,15.13,38.0,24.0,2018
Kamareddy,June,117.74,18.9,56.0,2023
Sangareddy,February,7.18,43.9,97.0,2016
Nizamabad,March,13.83,43.6,61.0,2020
Nirmal,November,13.88,35.7,20.0,2018
Mulugu,January,11.58,25.4,92.0,2025
Jagtial,November,18.87,25.1,59.0,2025
Sangareddy,September,137.15,31.3,68.0,2017
Khammam,April,17.65,45.0,25.0,2017
Mulugu,January,11.86,34.6,90.0,2023
Sangareddy,December,8.28,15.4,24.0,2015
Mahabubnagar,May,33.33,42.3,68.0,2023
Nalgonda,January,8.7,30.8,61.0,2018
Sangareddy,January,9.79,30.6,39.0,2025
Karimnagar,December,7.51,24.6,48.0,2022
Siddipet,February,6.7,28.4,80.0,2020
Nalgonda,August,190.01,31.2,37.0,2021
Vikarabad,September,136.61,44.2,24.0,2022
Rangareddy,February,3.49,27.8,23.0,2022
Jogulamba Gadwal,October,91.77,39.8,46.0,2018
Mancherial,July,190.64,20.1,39.0,2020
Mahabubabad,December,5.44,30.3,23.0,2015
Hanamkonda,June,119.67,34.8,20.0,2025
Jagtial,October,93.69,16.9,73.0,2019
Khammam,October,91.85,26.2,31.0,2019
Mahabubnagar,March,16.28,32.2,95.0,2023
Hanamkonda,February,4.8,31.6,23.0,2019
Kumurambheem Asifabad,July,193.25,26.1,70.0,2016
Siddipet,October,90.92,44.7,61.0,2015
Sangareddy,December,6.11,43.0,100.0,2024
Rajanna Sircilla,June,119.54,33.8,90.0,2018
Vikarabad,April,19.12,16.1,91.0,2018
Hanamkonda,December,2.89,16.0,93.0,2022
Nizamabad,June,119.75,34.0,57.0,2015
Rajanna Sircilla,May,30.54,22.6,49.0,2017
Wanaparthy,July,190.79,19.4,31.0,2021
Jagtial,March,13.88,31.5,86.0,2020
Kumurambheem Asifabad,November,22.67,25.6,81.0,2023
Mulugu,May,34.44,20.8,29.0,2019
Yadadri Bhuvanagiri,February,5.9,43.0,37.0,2017
Hanamkonda,December,5.46,27.0,51.0,2015
Jogulamba Gadwal,November,18.34,18.5,55.0,2024
Nagarkurnool,October,93.18,38.2,87.0,2019
Jogulamba Gadwal,February,5.91,23.2,32.0,2020
Hanamkonda,January,6.58,21.4,63.0,2018
Suryapet,June,120.36,33.9,46.0,2015
Jagtial,December,3.28,32.2,96.0,2015
Mancherial,November,17.68,17.0,66.0,2021
Sangareddy,June,118.85,38.4,51.0,2015
Mulugu,September,137.8,26.5,51.0,2016
Nalgonda,June,123.01,37.2,80.0,2019
Mahabubabad,November,17.07,40.9,43.0,2017
Mahabubabad,October,92.79,42.8,79.0,2019
Rangareddy,April,18.48,32.5,72.0,2016
Hanamkonda,February,5.95,24.6,100.0,2023
Nagarkurnool,June,120.48,18.6,88.0,2023
Kamareddy,November,20.57,36.2,66.0,2022
Nizamabad,December,5.48,37.2,53.0,2018
Khammam,September,134.3,17.5,58.0,2021
Mahabubnagar,December,4.41,24.5,78.0,2023
Nizamabad,July,190.99,25.5,93.0,2024
Karimnagar,March,14.45,26.3,85.0,2021
Kamareddy,November,19.3,24.2,66.0,2024
Kamareddy,January,3.49,37.6,85.0,2017
Jogulamba Gadwal,December,2.93,15.4,98.0,2025
Rangareddy,June,119.3,23.3,27.0,2025
Sangareddy,March,9.83,18.5,32.0,2016
Peddapalli,October,93.3,24.6,47.0,2019
Adilabad,July,195.53,44.0,24.0,2022
Jogulamba Gadwal,August,192.5,41.7,72.0,2022
Jogulamba Gadwal,July,192.32,18.0,85.0,2016
Hyderabad,May,33.51,15.2,83.0,2022
Wanaparthy,January,7.52,15.7,64.0,2022
Peddapalli,October,92.5,41.3,78.0,2024
Kamareddy,October,92.8,41.9,59.0,2019
Sangareddy,August,192.16,15.3,100.0,2023
Wanaparthy,June,118.85,28.9,88.0,2020
Yadadri Bhuvanagiri,June,119.44,18.6,72.0,2018
Kamareddy,December,7.12,19.4,43.0,2019
Kamareddy,November,16.35,16.1,88.0,2019
Vikarabad,April,21.63,31.7,49.0,2021
Hyderabad,February,3.56,45.0,51.0,2018
Peddapalli,September,140.37,31.3,48.0,2024
Nizamabad,April,20.2,43.9,100.0,2018
Medak,October,91.15,19.2,51.0,2024
Khammam,January,9.47,40.8,77.0,2024
Medak,January,7.98,43.1,30.0,2017
Hanamkonda,June,118.02,24.0,46.0,2016
Sangareddy,April,19.56,34.5,75.0,2016
Yadadri Bhuvanagiri,August,192.55,30.5,76.0,2022
Rajanna Sircilla,June,115.74,42.5,20.0,2025
Mulugu,December,3.04,27.5,58.0,2019
Nagarkurnool,November,18.08,21.1,73.0,2022
Siddipet,December,10.27,42.8,45.0,2020
Nagarkurnool,December,3.25,29.9,32.0,2018
Rajanna Sircilla,January,8.9,23.2,71.0,2020
Yadadri Bhuvanagiri,December,4.27,27.7,91.0,2024
Nalgonda,January,9.89,36.4,79.0,2016
Yadadri Bhuvanagiri,February,3.73,26.8,32.0,2020
Kumurambheem Asifabad,June,116.49,26.8,46.0,2025
Wanaparthy,July,192.29,22.2,85.0,2015
Peddapalli,June,119.8,23.2,100.0,2018
Mulugu,July,193.06,32.7,57.0,2021
Peddapalli,March,14.29,31.0,37.0,2022
Hanamkonda,February,10.05,43.2,87.0,2018
Mahabubabad,May,32.61,23.9,52.0,2017
Nizamabad,June,118.58,16.0,94.0,2023
Jagtial,November,23.87,34.2,68.0,2022
Nalgonda,July,192.04,29.1,67.0,2016
Medak,February,5.84,23.7,98.0,2019
Adilabad,January,11.24,26.8,99.0,2022
Rangareddy,December,4.88,26.4,52.0,2024
Khammam,January,8.27,22.5,72.0,2018
Hyderabad,November,18.08,23.1,42.0,2024
Jagtial,July,195.32,30.9,22.0,2025
Wanaparthy,December,3.81,23.3,65.0,2015
Khammam,December,4.87,42.9,41.0,2021
Kumurambheem Asifabad,October,93.74,31.2,53.0,2016
Mulugu,September,136.16,32.5,37.0,2020
Suryapet,November,16.79,33.4,34.0,2022
Siddipet,June,115.69,36.8,34.0,2021
Nirmal,April,15.94,26.8,31.0,2015
Rajanna Sircilla,April,12.3,31.4,84.0,2015
Rangareddy,July,187.36,43.9,86.0,2025
Hyderabad,August,193.63,25.3,80.0,2016
Rangareddy,March,13.56,41.8,57.0,2016
Medak,March,10.03,31.5,58.0,2016
Medak,January,7.74,17.1,72.0,2017
Suryapet,December,2.34,35.6,62.0,2022
Kumurambheem Asifabad,May,33.22,19.0,41.0,2022
Nizamabad,April,15.29,29.1,49.0,2016
Medak,September,134.97,22.6,48.0,2025
Rangareddy,May,29.88,30.6,90.0,2015
Hanamkonda,April,16.19,39.2,81.0,2019
Mahabubnagar,January,6.52,18.5,57.0,2024
Hanamkonda,July,191.87,38.9,49.0,2016
Hanamkonda,September,138.19,19.9,54.0,2016
Peddapalli,February,4.69,40.7,86.0,2017
Mancherial,October,90.57,17.2,69.0,2018
Mahabubabad,February,4.77,35.3,37.0,2025
Mancherial,November,22.87,41.3,88.0,2019
Rangareddy,October,91.61,21.8,57.0,2016
Rajanna Sircilla,November,18.92,41.1,60.0,2021
Mulugu,May,34.83,36.6,98.0,2016
Wanaparthy,April,18.6,40.5,87.0,2017
Peddapalli,August,190.15,19.9,78.0,2019
Karimnagar,August,193.72,38.4,61.0,2022
Nalgonda,February,7.28,25.4,27.0,2015
Kamareddy,February,7.39,24.3,55.0,2023
Jogulamba Gadwal,April,16.82,18.1,55.0,2018
Medak,October,94.33,42.7,65.0,2025
Sangareddy,September,134.51,43.1,70.0,2017
Rajanna Sircilla,May,27.76,41.0,71.0,2020
Peddapalli,May,29.91,38.5,28.0,2019
Jagtial,November,17.58,22.2,52.0,2019
Jogulamba Gadwal,March,16.4,19.9,100.0,2025
Suryapet,December,5.92,41.8,27.0,2020
Adilabad,October,92.8,29.2,96.0,2019
Rangareddy,June,116.25,31.3,55.0,2015
Karimnagar,December,3.44,22.8,38.0,2018
Sangareddy,December,5.47,38.1,78.0,2015
Mulugu,March,15.55,27.9,55.0,2023
Rajanna Sircilla,August,188.45,41.9,47.0,2019
Khammam,December,4.82,33.9,93.0,2019
Sangareddy,January,8.62,34.0,80.0,2020
Adilabad,August,192.3,24.6,53.0,2015
Khammam,April,17.12,37.5,62.0,2015
Adilabad,April,19.56,24.2,78.0,2019
Mulugu,October,92.99,18.4,46.0,2022
Nagarkurnool,May,31.18,44.9,44.0,2025
Nagarkurnool,February,3.51,29.5,67.0,2017
Nirmal,December,2.69,30.4,64.0,2016
Mahabubabad,December,5.94,29.1,89.0,2018
Nirmal,December,3.11,30.8,90.0,2015
Khammam,May,29.67,40.0,91.0,2024
Jagtial,March,13.99,26.5,25.0,2021
Nagarkurnool,February,7.97,17.5,81.0,2022
